GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Classwork,default,Calculator,0,7,0,0,0,2,0,2,0,2
Classwork,web.taskAPI.core.dto,Role,24,0,0,0,2,0,1,0,1,0
Classwork,web.taskAPI.core.dto,User,84,0,0,0,34,0,17,0,17,0
Classwork,web.taskAPI.core.dto,Message,43,0,0,0,18,0,9,0,9,0
Classwork,web.taskAPI.servlets,MessageServlet,121,0,8,0,35,0,7,0,3,0
Classwork,web.taskAPI.servlets,AuthorisationServlet,37,0,0,0,13,0,2,0,2,0
Classwork,web.taskAPI.servlets,RegistrationServlets,59,0,0,0,17,0,2,0,2,0
Classwork,web.person.core,StorageType,52,0,4,0,7,0,4,0,2,0
Classwork,web.taskAPI.service,UserFactory,6,0,0,0,3,0,3,0,3,0
Classwork,web.taskAPI.service,MessageService,68,0,6,0,18,0,7,0,4,0
Classwork,web.taskAPI.service,UserRepository,146,0,18,0,31,0,14,0,5,0
Classwork,web.person.service,SessionStorage,19,0,0,0,6,0,3,0,3,0
Classwork,web.person.service,CookieStorage,98,0,6,0,25,0,9,0,6,0
Classwork,web.person.service,FactoryStorage,24,0,4,0,6,0,4,0,2,0
Classwork,web.tests,HelloWithNameServlet,26,0,0,0,8,0,2,0,2,0
Classwork,web.tests,SecurityFilter,28,0,4,0,10,0,6,0,4,0
Classwork,web.tests,HelloWorldServlet,19,0,0,0,7,0,3,0,3,0
Classwork,web.tests,SessionTestServlet,68,0,6,0,21,0,7,0,4,0
Classwork,web.tests,SessionServlet,25,0,0,0,7,0,2,0,2,0
Classwork,web.tests,CookieTest,89,0,6,0,26,0,8,0,5,0
Classwork,web.tests,NamesServlet,43,0,6,0,14,0,5,0,2,0
Classwork,web.tests,HeaderServlet,27,0,0,0,9,0,2,0,2,0
Classwork,web.vote.service,VoteService,87,0,12,0,19,0,10,0,4,0
Classwork,web.vote.service,ArtistService,57,0,6,0,12,0,8,0,5,0
Classwork,web.vote.service,GenresService,81,0,6,0,11,0,8,0,5,0
Classwork,web.person.servlets,PersonServlet,130,0,4,0,35,0,5,0,3,0
Classwork,web.person.core.dto,Person,21,0,0,0,8,0,4,0,4,0
Classwork,web.vote.core,VoteDTO,21,0,0,0,8,0,4,0,4,0
Classwork,web.vote.servlets,GenresServlet,52,0,2,0,16,0,4,0,3,0
Classwork,web.vote.servlets,AboutUserServlet,8,0,0,0,3,0,2,0,2,0
Classwork,web.vote.servlets,PopularArtistsServlet,8,0,0,0,3,0,2,0,2,0
Classwork,web.vote.servlets,PopularGenresServlet,8,0,0,0,3,0,2,0,2,0
Classwork,web.vote.servlets,VoteServlet,47,0,0,0,12,0,3,0,3,0
Classwork,web.vote.servlets,ArtistServlet,52,0,2,0,16,0,4,0,3,0
